,AGE,APG,BPG,BPM,DBPM,DRBG,DWS,FPG,GP,OBPM,ORBG,OWS,PER,PPG,RPG,SPG,TPG,USG,Unnamed: 0,VORP,WS,YEAR
21,2.973579504,1.635554023,,,,,1.530349442,0.9132901854,25.18941799,,,2.583648107,5.82375555,6.797462699,4.194103868,,,,33.91902121,,3.592649455,0
22,26.09615385,2.210745836,,,,,1.541346154,2.567853935,60.02884615,,,1.503846154,12.35384615,10.4775376,5.843187075,,,,1629.5,,3.046153846,1961
23,3.006527626,1.810701286,,,,,1.861026472,0.9235059605,24.77371639,,,3.037753484,5.35214181,7.675821068,4.651248568,,,,30.16620626,,4.088699156,0
24,25.6,2.216436216,,,,,1.508333333,2.447684859,57.72,,,1.558333333,12.12083333,10.56575478,5.490015061,,,,1745,,3.063333333,1962
25,3.037401266,1.869461881,,,,,1.647283648,1.042021864,24.69249592,,,3.174016974,5.599578253,8.546344012,4.582854277,,,,36.22844187,,4.223303365,0
26,25.90977444,2.003601658,,,,,1.398496241,2.428813965,55.72180451,,,1.377443609,12.73984962,9.871557794,5.062320809,,,,1875,,2.772932331,1963
27,3.063615033,1.679556877,,,,,1.637948873,0.9335739319,25.75889178,,,2.971802242,5.473724285,7.204748617,3.964395481,,,,38.53786017,,3.916807757,0
28,25.94814815,1.908186016,,,,,1.408888889,2.552450739,55.73333333,,,1.458518519,12.11555556,9.684214152,5.005719407,,,,2010,,2.866666667,1964
29,3.069635883,1.656891407,,,,,2.10526939,0.9064406188,26.48040672,,,3.006246859,6.591150407,6.961099601,4.182603621,,,,39.11521443,,4.246473515,0
30,25.6969697,1.82934869,,,,,1.459848485,2.420408789,55.78030303,,,1.446969697,12.95681818,9.887552033,5.415463674,,,,2144.5,,2.912878788,1965
31,2.954978705,1.576716472,,,,,1.764876133,0.929114878,25.44454062,,,2.925498311,5.135837165,7.4087792,4.849404952,,,,38.249183,,3.81666505,0
32,26.11851852,2.003322489,,,,,1.446666667,2.462704867,56.62962963,,,1.46962963,13.01333333,10.31316754,5.49804924,,,,2279,,2.920740741,1966
33,3.090794835,1.751628678,,,,,1.576781153,0.9632919069,26.31149251,,,2.784559615,4.950603762,6.775939913,4.386012411,,,,39.11521443,,3.685937299,0
34,25.84962406,1.985337132,,,,,1.57443609,2.508763071,61.03007519,,,1.495488722,13.76842105,10.69223642,5.528070388,,,,2414,,3.07443609,1967
35,3.088336417,1.838631743,,,,,1.431393374,0.9197036913,22.35625458,,,2.753671507,6.705757007,6.778920003,4.254108486,,,,38.53786017,,3.702899235,0
36,26,2.054722179,,,,,1.471751412,2.47235484,58.36158192,,,1.494350282,12.96666667,10.31841487,5.147936851,,,,2570,,2.969491525,1968
37,3.180194391,1.677929216,,,,,1.47328243,0.9741786938,24.99555174,,,2.426925606,4.729076725,6.717076242,4.106729748,,,,51.2396331,,3.416134224,0
38,26.09708738,2.076332999,,,,,1.510679612,2.500397244,57.9223301,,,1.507281553,12.93252427,10.31341558,5.420232293,,,,2762.5,,3.023300971,1969
39,3.1715644,1.757401456,,,,,1.575291696,0.9481887318,25.272057,,,2.468651333,4.336072229,6.692434898,4.1437883,,,,59.61124055,,3.446106432,0
40,26.44278607,2.239308937,,,,,1.523880597,2.391072458,59.14427861,,,1.527860697,13.54875622,10.62059945,4.995892519,,,,2967,,3.052736318,1970
41,3.516811084,1.810056708,,,,,1.375873128,0.8837686344,25.42015105,,,2.490827152,5.636444885,6.870162041,3.806398221,,,,58.16786054,,3.424836489,0
42,26.13061224,2.065273925,,,,,1.474693878,2.247120694,58.06938776,,,1.427346939,12.78081633,9.511099282,4.652386962,,,,3191,,2.9,1971
43,3.466360831,1.814487576,,,,,1.476930665,0.9592346752,26.45564029,,,2.565028661,5.318988501,6.95126351,3.637049913,,,,70.86959856,,3.622459539,0
44,26.22641509,2.161779596,,,,,1.44754717,2.25330041,55.86415094,,,1.385660377,12.54490566,9.715372856,4.590493865,,,,3447,,2.834716981,1972
45,3.461046815,1.889048691,,,,,1.654746279,0.8998281301,26.03909571,,,2.657768423,4.42258992,6.939567529,3.725544664,,,,76.64311232,,3.843757534,0
46,26.31226766,2.096684596,,,,,1.417100372,2.174126782,55.82156134,,,1.335687732,12.47806691,8.99217025,4.428879695,,,,3715,,2.754275093,1973
47,3.479025381,1.826729688,,,,,1.714905396,0.8476857219,26.80091298,,,2.372351153,4.960388088,6.683258351,3.578941142,,,,77.79781488,,3.582715338,0
48,26.35918367,2.211875274,0.4191135837,-2.229795918,-0.6714285714,2.958409477,1.457142857,2.21595311,57.53469388,-1.56244898,1.304149797,1.525714286,13.23020408,9.208990259,4.262559274,0.7696335164,,,3973,0.7004081633,2.982040816,1974
49,3.372011024,1.744227455,0.6247924275,4.531064223,2.416829653,2.403219684,1.487020346,0.9083623805,24.9840076,3.225941552,0.9731968252,2.156165388,4.061533108,6.639513915,3.307808907,0.5656207151,,,70.86959856,1.53338525,3.220796269,0
50,26.5,2.118624032,0.3722482234,-1.843115942,-0.4713768116,2.935900966,1.402536232,2.303366434,57.23913043,-1.373188406,1.28864825,1.437681159,13.45072464,9.082592882,4.224549216,0.7938714913,,,4234.5,0.6634057971,2.844927536,1975
51,3.477198454,1.634162907,0.4987130932,3.80705418,1.675257241,2.251057618,1.301507133,0.8914298546,24.73644476,3.130124362,0.9205054687,2.042056108,4.200696849,6.296698247,3.085371143,0.5497012773,,,79.81854421,1.448259643,3.014138139,0
52,26.37591241,1.957552564,0.3786749224,-2.197810219,-0.5693430657,2.845344638,1.41350365,2.224430834,57.7919708,-1.627737226,1.231216966,1.431386861,13.11970803,8.645578091,4.076561604,0.7559468797,,,4510.5,0.6635036496,2.842335766,1976
53,3.560199722,1.641376038,0.5015499461,4.210112841,1.816754021,2.277439731,1.299337724,0.9223711677,25.39022499,3.197337031,0.9090248735,1.992945501,4.385187177,6.076786007,3.113166182,0.5612804648,,,79.24119299,1.537891421,2.971752794,0
54,25.91596639,2.002267509,0.452200905,-1.998319328,-0.6577030812,2.792416279,1.363865546,2.285305211,56.29971989,-1.346498599,1.32371069,1.366946779,13.45098039,9.161418939,4.116126969,0.7796762635,,,4827,0.6327731092,2.732212885,1977
